"","doy","2002_NDVI","2003_NDVI","2004_NDVI","2005_NDVI","2006_NDVI","2007_NDVI","2008_NDVI","2009_NDVI","2010_NDVI","2011_NDVI","2012_NDVI","2013_NDVI","2014_NDVI","2015_NDVI"
"156",268,3820,NA,NA,NA,3303,3379,3923,NA,2716,3645,NA,5553,NA,4011
"157",269,3820,NA,NA,NA,3303,3379,3923,NA,2716,3645,NA,5553,NA,4011
"158",270,3820,NA,NA,NA,3303,3379,3923,NA,2716,3645,NA,5553,NA,4011
"159",271,3820,NA,NA,NA,3303,3379,3923,NA,2716,3645,NA,5553,NA,4011
"160",272,3820,NA,NA,NA,3303,3379,3923,NA,2716,3645,NA,5553,NA,4011
"161",273,3138,3250,NA,NA,2517,2656,NA,3682,2462,2875,2434,3720,3254,3138
"162",274,3138,3250,NA,NA,2517,2656,NA,3682,2462,2875,2434,3720,3254,3138
"163",275,3138,3250,NA,NA,2517,2656,NA,3682,2462,2875,2434,3720,3254,3138
"164",276,3138,3250,NA,NA,2517,2656,NA,3682,2462,2875,2434,3720,3254,3138
"165",277,3138,3250,NA,NA,2517,2656,NA,3682,2462,2875,2434,3720,3254,3138
"166",278,3138,3250,NA,NA,2517,2656,NA,3682,2462,2875,2434,3720,3254,3138
"167",279,3138,3250,NA,NA,2517,2656,NA,3682,2462,2875,2434,3720,3254,3138
"168",280,3138,3250,NA,NA,2517,2656,NA,3682,2462,2875,2434,3720,3254,3138
"169",281,NA,2921,3411,NA,2792,NA,NA,2719,2399,2904,2502,NA,NA,2604
"170",282,NA,2921,3411,NA,2792,NA,NA,2719,2399,2904,2502,NA,NA,2604
"171",283,NA,2921,3411,NA,2792,NA,NA,2719,2399,2904,2502,NA,NA,2604
"172",284,NA,2921,3411,NA,2792,NA,NA,2719,2399,2904,2502,NA,NA,2604
"173",285,NA,2921,3411,NA,2792,NA,NA,2719,2399,2904,2502,NA,NA,2604
"174",286,NA,2921,3411,NA,2792,NA,NA,2719,2399,2904,2502,NA,NA,2604
"175",287,NA,2921,3411,NA,2792,NA,NA,2719,2399,2904,2502,NA,NA,2604
"176",288,NA,2921,3411,NA,2792,NA,NA,2719,2399,2904,2502,NA,NA,2604
"177",289,2627,NA,NA,NA,2241,2334,2335,NA,2192,2727,NA,NA,2526,2608
"178",290,2627,NA,NA,NA,2241,2334,2335,NA,2192,2727,NA,NA,2526,2608
"179",291,2627,NA,NA,NA,2241,2334,2335,NA,2192,2727,NA,NA,2526,2608
"180",292,2627,NA,NA,NA,2241,2334,2335,NA,2192,2727,NA,NA,2526,2608
"181",293,2627,NA,NA,NA,2241,2334,2335,NA,2192,2727,NA,NA,2526,2608
"182",294,2627,NA,NA,NA,2241,2334,2335,NA,2192,2727,NA,NA,2526,2608
"183",295,2627,NA,NA,NA,2241,2334,2335,NA,2192,2727,NA,NA,2526,2608
"184",296,2627,NA,NA,NA,2241,2334,2335,NA,2192,2727,NA,NA,2526,2608
"185",297,1932,2311,2432,2181,2285,2219,2326,NA,2579,2318,1862,2758,2328,NA
"186",298,1932,2311,2432,2181,2285,2219,2326,NA,2579,2318,1862,2758,2328,NA
"187",299,1932,2311,2432,2181,2285,2219,2326,NA,2579,2318,1862,2758,2328,NA
"188",300,1932,2311,2432,2181,2285,2219,2326,NA,2579,2318,1862,2758,2328,NA
"189",301,1932,2311,2432,2181,2285,2219,2326,NA,2579,2318,1862,2758,2328,NA
"190",302,1932,2311,2432,2181,2285,2219,2326,NA,2579,2318,1862,2758,2328,NA
"191",303,1932,2311,2432,2181,2285,2219,2326,NA,2579,2318,1862,2758,2328,NA
"192",304,1932,2311,2432,2181,2285,2219,2326,NA,2579,2318,1862,2758,2328,NA
"193",305,2003,1950,2379,NA,NA,2206,2079,1978,2401,1949,1886,2429,NA,2249
"194",306,2003,1950,2379,NA,NA,2206,2079,1978,2401,1949,1886,2429,NA,2249
"195",307,2003,1950,2379,NA,NA,2206,2079,1978,2401,1949,1886,2429,NA,2249
"196",308,2003,1950,2379,NA,NA,2206,2079,1978,2401,1949,1886,2429,NA,2249
"197",309,2003,1950,2379,NA,NA,2206,2079,1978,2401,1949,1886,2429,NA,2249
"198",310,2003,1950,2379,NA,NA,2206,2079,1978,2401,1949,1886,2429,NA,2249
"199",311,2003,1950,2379,NA,NA,2206,2079,1978,2401,1949,1886,2429,NA,2249
"200",312,2003,1950,2379,NA,NA,2206,2079,1978,2401,1949,1886,2429,NA,2249
"201",313,2158,1883,2359,2174,NA,2233,1266,NA,NA,2028,1930,NA,NA,2386
