doy,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
93,NA,2147.508,2469.994,2398.088,2482.891,2698.912,2953.99,2754.93,2619.921,NA,2496.359,3546.424,2710.406,2567.157,2476.842,2791.489
94,NA,2147.508,2469.994,2398.088,2482.891,2698.912,2953.99,2754.93,2619.921,NA,2496.359,3546.424,2710.406,2567.157,2476.842,2791.489
95,NA,2147.508,2469.994,2398.088,2482.891,2698.912,2953.99,2754.93,2619.921,NA,2496.359,3546.424,2710.406,2567.157,2476.842,2791.489
96,NA,2147.508,2469.994,2398.088,2482.891,2698.912,2953.99,2754.93,2619.921,NA,2496.359,3546.424,2710.406,2567.157,2476.842,2791.489
97,2634.557,2462.168,2477.963,2556.472,2938.056,2707.023,2758.813,2616.801,2597.4,2465.664,2838.082,2907.108,NA,2287.529,2642.902,2829.693
98,2634.557,2462.168,2477.963,2556.472,2938.056,2707.023,2758.813,2616.801,2597.4,2465.664,2838.082,2907.108,NA,2287.529,2642.902,2829.693
99,2634.557,2462.168,2477.963,2556.472,2938.056,2707.023,2758.813,2616.801,2597.4,2465.664,2838.082,2907.108,NA,2287.529,2642.902,2829.693
100,2634.557,2462.168,2477.963,2556.472,2938.056,2707.023,2758.813,2616.801,2597.4,2465.664,2838.082,2907.108,NA,2287.529,2642.902,2829.693
101,2634.557,2462.168,2477.963,2556.472,2938.056,2707.023,2758.813,2616.801,2597.4,2465.664,2838.082,2907.108,NA,2287.529,2642.902,2829.693
102,2634.557,2462.168,2477.963,2556.472,2938.056,2707.023,2758.813,2616.801,2597.4,2465.664,2838.082,2907.108,NA,2287.529,2642.902,2829.693
103,2634.557,2462.168,2477.963,2556.472,2938.056,2707.023,2758.813,2616.801,2597.4,2465.664,2838.082,2907.108,NA,2287.529,2642.902,2829.693
104,2634.557,2462.168,2477.963,2556.472,2938.056,2707.023,2758.813,2616.801,2597.4,2465.664,2838.082,2907.108,NA,2287.529,2642.902,2829.693
105,2610.654,2625.235,3014.845,2705.775,NA,2882.993,2804.343,2964.518,2660.329,3285.373,3639.893,3173.393,3147.589,2655.802,3349.074,3277.363
106,2610.654,2625.235,3014.845,2705.775,NA,2882.993,2804.343,2964.518,2660.329,3285.373,3639.893,3173.393,3147.589,2655.802,3349.074,3277.363
107,2610.654,2625.235,3014.845,2705.775,NA,2882.993,2804.343,2964.518,2660.329,3285.373,3639.893,3173.393,3147.589,2655.802,3349.074,3277.363
108,2610.654,2625.235,3014.845,2705.775,NA,2882.993,2804.343,2964.518,2660.329,3285.373,3639.893,3173.393,3147.589,2655.802,3349.074,3277.363
109,2610.654,2625.235,3014.845,2705.775,NA,2882.993,2804.343,2964.518,2660.329,3285.373,3639.893,3173.393,3147.589,2655.802,3349.074,3277.363
110,2610.654,2625.235,3014.845,2705.775,NA,2882.993,2804.343,2964.518,2660.329,3285.373,3639.893,3173.393,3147.589,2655.802,3349.074,3277.363
111,2610.654,2625.235,3014.845,2705.775,NA,2882.993,2804.343,2964.518,2660.329,3285.373,3639.893,3173.393,3147.589,2655.802,3349.074,3277.363
112,2610.654,2625.235,3014.845,2705.775,NA,2882.993,2804.343,2964.518,2660.329,3285.373,3639.893,3173.393,3147.589,2655.802,3349.074,3277.363
113,2896.694,2595.833,3096.56,3049.771,3168.267,2886.222,2818.756,3068.116,2921.321,3068.966,2931.61,3113.534,3036.023,3586.755,3231.848,2941.538
114,2896.694,2595.833,3096.56,3049.771,3168.267,2886.222,2818.756,3068.116,2921.321,3068.966,2931.61,3113.534,3036.023,3586.755,3231.848,2941.538
115,2896.694,2595.833,3096.56,3049.771,3168.267,2886.222,2818.756,3068.116,2921.321,3068.966,2931.61,3113.534,3036.023,3586.755,3231.848,2941.538
116,2896.694,2595.833,3096.56,3049.771,3168.267,2886.222,2818.756,3068.116,2921.321,3068.966,2931.61,3113.534,3036.023,3586.755,3231.848,2941.538
117,2896.694,2595.833,3096.56,3049.771,3168.267,2886.222,2818.756,3068.116,2921.321,3068.966,2931.61,3113.534,3036.023,3586.755,3231.848,2941.538
118,2896.694,2595.833,3096.56,3049.771,3168.267,2886.222,2818.756,3068.116,2921.321,3068.966,2931.61,3113.534,3036.023,3586.755,3231.848,2941.538
119,2896.694,2595.833,3096.56,3049.771,3168.267,2886.222,2818.756,3068.116,2921.321,3068.966,2931.61,3113.534,3036.023,3586.755,3231.848,2941.538
120,2896.694,2595.833,3096.56,3049.771,3168.267,2886.222,2818.756,3068.116,2921.321,3068.966,2931.61,3113.534,3036.023,3586.755,3231.848,2941.538
121,3512.184,2463.863,3593.769,2873.546,3131.03,3129.77,2771.258,3304.219,2682.479,2768.778,2742.443,3384.263,3497.861,3212.055,NA,2925.424
122,3512.184,2463.863,3593.769,2873.546,3131.03,3129.77,2771.258,3304.219,2682.479,2768.778,2742.443,3384.263,3497.861,3212.055,NA,2925.424
123,3512.184,2463.863,3593.769,2873.546,3131.03,3129.77,2771.258,3304.219,2682.479,2768.778,2742.443,3384.263,3497.861,3212.055,NA,2925.424
124,3512.184,2463.863,3593.769,2873.546,3131.03,3129.77,2771.258,3304.219,2682.479,2768.778,2742.443,3384.263,3497.861,3212.055,NA,2925.424
125,3512.184,2463.863,3593.769,2873.546,3131.03,3129.77,2771.258,3304.219,2682.479,2768.778,2742.443,3384.263,3497.861,3212.055,NA,2925.424
126,3512.184,2463.863,3593.769,2873.546,3131.03,3129.77,2771.258,3304.219,2682.479,2768.778,2742.443,3384.263,3497.861,3212.055,NA,2925.424
127,3512.184,2463.863,3593.769,2873.546,3131.03,3129.77,2771.258,3304.219,2682.479,2768.778,2742.443,3384.263,3497.861,3212.055,NA,2925.424
128,3512.184,2463.863,3593.769,2873.546,3131.03,3129.77,2771.258,3304.219,2682.479,2768.778,2742.443,3384.263,3497.861,3212.055,NA,2925.424
129,3118.833,2839.497,3463.446,3276.388,NA,3335.454,2814.652,3024.807,3865.1,NA,2999.817,3376.755,3199.273,3358.225,3301.302,3230.1
130,3118.833,2839.497,3463.446,3276.388,NA,3335.454,2814.652,3024.807,3865.1,NA,2999.817,3376.755,3199.273,3358.225,3301.302,3230.1
131,3118.833,2839.497,3463.446,3276.388,NA,3335.454,2814.652,3024.807,3865.1,NA,2999.817,3376.755,3199.273,3358.225,3301.302,3230.1
132,3118.833,2839.497,3463.446,3276.388,NA,3335.454,2814.652,3024.807,3865.1,NA,2999.817,3376.755,3199.273,3358.225,3301.302,3230.1
133,3118.833,2839.497,3463.446,3276.388,NA,3335.454,2814.652,3024.807,3865.1,NA,2999.817,3376.755,3199.273,3358.225,3301.302,3230.1
134,3118.833,2839.497,3463.446,3276.388,NA,3335.454,2814.652,3024.807,3865.1,NA,2999.817,3376.755,3199.273,3358.225,3301.302,3230.1
135,3118.833,2839.497,3463.446,3276.388,NA,3335.454,2814.652,3024.807,3865.1,NA,2999.817,3376.755,3199.273,3358.225,3301.302,3230.1
136,3118.833,2839.497,3463.446,3276.388,NA,3335.454,2814.652,3024.807,3865.1,NA,2999.817,3376.755,3199.273,3358.225,3301.302,3230.1
137,NA,3359.912,3063.644,3079.852,2625.629,3054.004,2827.093,3073.527,3119.076,NA,2816.818,3050.59,NA,3296.995,3356.169,NA
138,NA,3359.912,3063.644,3079.852,2625.629,3054.004,2827.093,3073.527,3119.076,NA,2816.818,3050.59,NA,3296.995,3356.169,NA
139,NA,3359.912,3063.644,3079.852,2625.629,3054.004,2827.093,3073.527,3119.076,NA,2816.818,3050.59,NA,3296.995,3356.169,NA
140,NA,3359.912,3063.644,3079.852,2625.629,3054.004,2827.093,3073.527,3119.076,NA,2816.818,3050.59,NA,3296.995,3356.169,NA
141,NA,3359.912,3063.644,3079.852,2625.629,3054.004,2827.093,3073.527,3119.076,NA,2816.818,3050.59,NA,3296.995,3356.169,NA
142,NA,3359.912,3063.644,3079.852,2625.629,3054.004,2827.093,3073.527,3119.076,NA,2816.818,3050.59,NA,3296.995,3356.169,NA
143,NA,3359.912,3063.644,3079.852,2625.629,3054.004,2827.093,3073.527,3119.076,NA,2816.818,3050.59,NA,3296.995,3356.169,NA
144,NA,3359.912,3063.644,3079.852,2625.629,3054.004,2827.093,3073.527,3119.076,NA,2816.818,3050.59,NA,3296.995,3356.169,NA
145,3774.402,2573.98,2793.495,2795.303,2896.642,3002.599,NA,4228.54,3710.698,3325.252,3258.483,4806.684,3632.403,4693.08,3801.354,3447.862
146,3774.402,2573.98,2793.495,2795.303,2896.642,3002.599,NA,4228.54,3710.698,3325.252,3258.483,4806.684,3632.403,4693.08,3801.354,3447.862
147,3774.402,2573.98,2793.495,2795.303,2896.642,3002.599,NA,4228.54,3710.698,3325.252,3258.483,4806.684,3632.403,4693.08,3801.354,3447.862
148,3774.402,2573.98,2793.495,2795.303,2896.642,3002.599,NA,4228.54,3710.698,3325.252,3258.483,4806.684,3632.403,4693.08,3801.354,3447.862
149,3774.402,2573.98,2793.495,2795.303,2896.642,3002.599,NA,4228.54,3710.698,3325.252,3258.483,4806.684,3632.403,4693.08,3801.354,3447.862
150,3774.402,2573.98,2793.495,2795.303,2896.642,3002.599,NA,4228.54,3710.698,3325.252,3258.483,4806.684,3632.403,4693.08,3801.354,3447.862
151,3774.402,2573.98,2793.495,2795.303,2896.642,3002.599,NA,4228.54,3710.698,3325.252,3258.483,4806.684,3632.403,4693.08,3801.354,3447.862
152,3774.402,2573.98,2793.495,2795.303,2896.642,3002.599,NA,4228.54,3710.698,3325.252,3258.483,4806.684,3632.403,4693.08,3801.354,3447.862
153,4482.939,3378.204,2994.28,3314.847,3536.028,4407.536,4911.602,5075.692,4808.338,3922.621,3712.638,5720.76,3577.868,4178.058,3808.534,3147.169
154,4482.939,3378.204,2994.28,3314.847,3536.028,4407.536,4911.602,5075.692,4808.338,3922.621,3712.638,5720.76,3577.868,4178.058,3808.534,3147.169
155,4482.939,3378.204,2994.28,3314.847,3536.028,4407.536,4911.602,5075.692,4808.338,3922.621,3712.638,5720.76,3577.868,4178.058,3808.534,3147.169
156,4482.939,3378.204,2994.28,3314.847,3536.028,4407.536,4911.602,5075.692,4808.338,3922.621,3712.638,5720.76,3577.868,4178.058,3808.534,3147.169
157,4482.939,3378.204,2994.28,3314.847,3536.028,4407.536,4911.602,5075.692,4808.338,3922.621,3712.638,5720.76,3577.868,4178.058,3808.534,3147.169
158,4482.939,3378.204,2994.28,3314.847,3536.028,4407.536,4911.602,5075.692,4808.338,3922.621,3712.638,5720.76,3577.868,4178.058,3808.534,3147.169
159,4482.939,3378.204,2994.28,3314.847,3536.028,4407.536,4911.602,5075.692,4808.338,3922.621,3712.638,5720.76,3577.868,4178.058,3808.534,3147.169
160,4482.939,3378.204,2994.28,3314.847,3536.028,4407.536,4911.602,5075.692,4808.338,3922.621,3712.638,5720.76,3577.868,4178.058,3808.534,3147.169
161,4015.3,4578.416,4019.477,4984.625,5190.066,5808.884,6674.646,5113.435,NA,7022.459,3816.953,7226.604,5962.932,5380.572,5151.786,3542.554
162,4015.3,4578.416,4019.477,4984.625,5190.066,5808.884,6674.646,5113.435,NA,7022.459,3816.953,7226.604,5962.932,5380.572,5151.786,3542.554
163,4015.3,4578.416,4019.477,4984.625,5190.066,5808.884,6674.646,5113.435,NA,7022.459,3816.953,7226.604,5962.932,5380.572,5151.786,3542.554
