"","doy","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"74",74,2686.26951936373,NA,2410.05946349711,2305.35529843815,2247.61508624919,NA,2367.46419740294,2445.63487767177,2217.3060744251,2399.95573488107,NA,2282.50246933583,2313.36831008414,2180.89990817264,2192.5140526454,2952.88864589029
"75",75,2686.26951936373,NA,2410.05946349711,2305.35529843815,2247.61508624919,NA,2367.46419740294,2445.63487767177,2217.3060744251,2399.95573488107,NA,2282.50246933583,2313.36831008414,2180.89990817264,2192.5140526454,2952.88864589029
"76",76,2686.26951936373,NA,2410.05946349711,2305.35529843815,2247.61508624919,NA,2367.46419740294,2445.63487767177,2217.3060744251,2399.95573488107,NA,2282.50246933583,2313.36831008414,2180.89990817264,2192.5140526454,2952.88864589029
"77",77,2686.26951936373,NA,2410.05946349711,2305.35529843815,2247.61508624919,NA,2367.46419740294,2445.63487767177,2217.3060744251,2399.95573488107,NA,2282.50246933583,2313.36831008414,2180.89990817264,2192.5140526454,2952.88864589029
"78",78,2686.26951936373,NA,2410.05946349711,2305.35529843815,2247.61508624919,NA,2367.46419740294,2445.63487767177,2217.3060744251,2399.95573488107,NA,2282.50246933583,2313.36831008414,2180.89990817264,2192.5140526454,2952.88864589029
"79",79,2686.26951936373,NA,2410.05946349711,2305.35529843815,2247.61508624919,NA,2367.46419740294,2445.63487767177,2217.3060744251,2399.95573488107,NA,2282.50246933583,2313.36831008414,2180.89990817264,2192.5140526454,2952.88864589029
"80",80,2686.26951936373,NA,2410.05946349711,2305.35529843815,2247.61508624919,NA,2367.46419740294,2445.63487767177,2217.3060744251,2399.95573488107,NA,2282.50246933583,2313.36831008414,2180.89990817264,2192.5140526454,2952.88864589029
"81",81,2666.930063184,2402.40963855423,2406.19539743954,2382.4506205209,2414.38581819206,NA,2619.39877181122,2502.58410274864,2422.28234095394,2453.06117752643,NA,3206.3613300963,2196.42857142857,NA,2184.73354133646,3130.67150635211
"82",82,2666.930063184,2402.40963855423,2406.19539743954,2382.4506205209,2414.38581819206,NA,2619.39877181122,2502.58410274864,2422.28234095394,2453.06117752643,NA,3206.3613300963,2196.42857142857,NA,2184.73354133646,3130.67150635211
"83",83,2666.930063184,2402.40963855423,2406.19539743954,2382.4506205209,2414.38581819206,NA,2619.39877181122,2502.58410274864,2422.28234095394,2453.06117752643,NA,3206.3613300963,2196.42857142857,NA,2184.73354133646,3130.67150635211
